Timestamp,Voltage,Current,Power,Ah,AhSeconds,AhHours
15-10-2021 17:16:45,14.3983,194.5810,2834.06,0.0000e+00,0.0,0.000
15-10-2021 17:16:50,14.3995,192.6177,2806.54,2.7420e-01,5.1,0.001
15-10-2021 17:16:55,14.3995,190.8344,2780.27,5.5105e-01,10.3,0.003
15-10-2021 17:17:00,14.3995,189.4110,2759.00,8.2034e-01,15.4,0.004
15-10-2021 17:17:06,14.3983,188.3312,2742.12,1.0878e+00,20.5,0.006
15-10-2021 17:17:11,14.3995,187.3004,2727.73,1.3538e+00,25.6,0.007
15-10-2021 17:17:16,14.3983,186.4333,2715.85,1.6186e+00,30.8,0.009
15-10-2021 17:17:21,14.3983,185.8443,2705.84,1.8874e+00,35.9,0.010
15-10-2021 17:17:26,14.3983,185.2389,2697.08,2.1501e+00,41.1,0.011
15-10-2021 17:17:31,14.3995,184.7154,2691.45,2.4173e+00,46.2,0.013
15-10-2021 17:17:36,14.3995,184.2737,2685.20,2.6838e+00,51.4,0.014
15-10-2021 17:17:42,14.3983,183.9791,2679.57,2.9447e+00,56.6,0.016
15-10-2021 17:17:47,14.3995,183.6683,2674.56,3.2101e+00,61.7,0.017
15-10-2021 17:17:52,14.3983,183.5701,2671.44,3.4703e+00,66.8,0.019
15-10-2021 17:17:57,14.3995,183.4392,2670.81,3.7352e+00,72.0,0.020
15-10-2021 17:18:02,14.3983,183.3411,2671.44,3.9949e+00,77.2,0.021
15-10-2021 17:18:07,14.3995,183.3083,2672.06,4.2598e+00,82.3,0.023
15-10-2021 17:18:12,14.3995,183.4065,2670.81,4.5194e+00,87.4,0.024
15-10-2021 17:18:18,14.3995,183.4392,2670.81,4.7845e+00,92.6,0.026
15-10-2021 17:18:23,14.3995,183.5210,2673.94,5.0445e+00,97.7,0.027
15-10-2021 17:18:28,14.3995,183.7174,2675.81,5.3046e+00,102.8,0.029
15-10-2021 17:18:33,14.3995,183.8810,2679.57,5.5699e+00,108.0,0.030
15-10-2021 17:18:38,14.3983,184.2246,2683.32,5.8309e+00,113.1,0.031
15-10-2021 17:18:43,14.3995,184.4209,2686.45,6.0922e+00,118.2,0.033
15-10-2021 17:18:48,14.3983,184.7808,2690.83,6.3586e+00,123.4,0.034
15-10-2021 17:18:54,14.3983,185.0426,2695.20,6.6208e+00,128.5,0.036
15-10-2021 17:18:59,14.3983,185.4189,2698.96,6.8829e+00,133.6,0.037
15-10-2021 17:19:04,14.3995,185.6643,2705.21,7.1457e+00,138.8,0.039
15-10-2021 17:19:09,14.3995,186.1061,2709.59,7.4142e+00,143.9,0.040
15-10-2021 17:19:14,14.3983,186.5478,2717.10,7.6783e+00,149.1,0.041
15-10-2021 17:19:19,14.3983,187.0714,2723.98,7.9477e+00,154.2,0.043
15-10-2021 17:19:24,14.3983,187.4967,2730.23,8.2135e+00,159.3,0.044
15-10-2021 17:19:30,14.3995,187.9712,2737.74,8.4846e+00,164.5,0.046
15-10-2021 17:19:35,14.3983,188.3312,2744.62,8.7507e+00,169.6,0.047
15-10-2021 17:19:40,14.3995,188.9365,2749.62,9.0178e+00,174.8,0.049
15-10-2021 17:19:45,14.3983,189.4764,2757.75,9.2911e+00,179.9,0.050
15-10-2021 17:19:50,14.3983,190.0163,2767.14,9.5604e+00,185.1,0.051
15-10-2021 17:19:55,14.3995,190.5072,2775.27,9.8352e+00,190.2,0.053
15-10-2021 17:20:00,14.3995,191.0962,2782.15,1.0105e+01,195.3,0.054
15-10-2021 17:20:06,14.3995,191.6361,2792.15,1.0376e+01,200.4,0.056
15-10-2021 17:20:11,14.3983,192.2742,2798.41,1.0648e+01,205.5,0.057
15-10-2021 17:20:16,14.3995,192.7650,2805.91,1.0926e+01,210.7,0.059
15-10-2021 17:20:21,14.3995,193.2558,2815.92,1.1200e+01,215.9,0.060
15-10-2021 17:20:26,14.3983,194.0084,2823.43,1.1479e+01,221.0,0.061
15-10-2021 17:20:31,14.3995,194.4829,2834.06,1.1759e+01,226.2,0.063
15-10-2021 17:20:36,14.3983,195.0882,2840.32,1.2036e+01,231.3,0.064
15-10-2021 17:20:42,14.3995,195.6118,2849.07,1.2312e+01,236.5,0.066
15-10-2021 17:20:47,14.3995,196.1517,2857.20,1.2595e+01,241.6,0.067
15-10-2021 17:20:52,14.3995,196.6262,2864.71,1.2873e+01,246.7,0.069
15-10-2021 17:20:57,14.3983,197.2152,2871.59,1.3158e+01,251.9,0.070
15-10-2021 17:21:02,14.3995,197.7714,2880.35,1.3438e+01,257.1,0.071
15-10-2021 17:21:07,14.3983,198.3277,2889.10,1.3724e+01,262.2,0.073
15-10-2021 17:21:12,14.3983,198.8840,2896.61,1.4005e+01,267.3,0.074
15-10-2021 17:21:18,14.3983,199.4075,2903.49,1.4293e+01,272.5,0.076
15-10-2021 17:21:23,14.3983,199.8984,2911.62,1.4577e+01,277.6,0.077
15-10-2021 17:21:28,14.3960,199.9965,2912.25,1.4860e+01,282.7,0.079
15-10-2021 17:21:33,14.3925,199.9965,2911.62,1.5142e+01,287.8,0.080
15-10-2021 17:21:38,14.3890,199.9965,2910.37,1.5432e+01,293.0,0.081
15-10-2021 17:21:43,14.3843,199.9965,2909.12,1.5715e+01,298.1,0.083
15-10-2021 17:21:48,14.3808,199.9965,2909.12,1.5998e+01,303.2,0.084
15-10-2021 17:21:53,14.3773,199.9802,2908.49,1.6281e+01,308.4,0.086
15-10-2021 17:21:59,14.3738,199.9802,2907.87,1.6570e+01,313.5,0.087
15-10-2021 17:22:04,14.3703,199.9965,2907.24,1.6854e+01,318.6,0.089
15-10-2021 17:22:09,14.3668,199.9802,2906.62,1.7142e+01,323.8,0.090
15-10-2021 17:22:14,14.3633,199.9802,2905.37,1.7426e+01,328.9,0.091
15-10-2021 17:22:19,14.3598,199.9965,2904.74,1.7715e+01,334.1,0.093
15-10-2021 17:22:24,14.3575,199.9638,2904.74,1.7998e+01,339.2,0.094
15-10-2021 17:22:29,14.3540,199.9802,2904.12,1.8281e+01,344.3,0.096
15-10-2021 17:22:34,14.3516,199.9965,2902.86,1.8564e+01,349.4,0.097
15-10-2021 17:22:40,14.3493,199.9802,2902.24,1.8848e+01,354.5,0.098
15-10-2021 17:22:45,14.3470,199.9965,2902.24,1.9136e+01,359.7,0.100
15-10-2021 17:22:50,14.3435,199.9802,2901.61,1.9421e+01,364.8,0.101
15-10-2021 17:22:55,14.3411,199.9802,2900.99,1.9704e+01,369.9,0.103
15-10-2021 17:23:00,14.3388,199.9474,2900.36,1.9993e+01,375.1,0.104
15-10-2021 17:23:05,14.3365,199.9802,2900.36,2.0275e+01,380.2,0.106
15-10-2021 17:23:10,14.3341,199.9965,2899.74,2.0559e+01,385.4,0.107
15-10-2021 17:23:16,14.3318,199.9802,2899.74,2.0848e+01,390.5,0.108
15-10-2021 17:23:21,14.3295,199.9965,2899.11,2.1131e+01,395.6,0.110
15-10-2021 17:23:26,14.3283,199.9965,2898.49,2.1414e+01,400.7,0.111
15-10-2021 17:23:31,14.3260,199.9802,2897.86,2.1703e+01,405.9,0.113
15-10-2021 17:23:36,14.3236,199.9965,2897.24,2.1987e+01,411.0,0.114
15-10-2021 17:23:41,14.3213,199.9638,2897.24,2.2274e+01,416.2,0.116
15-10-2021 17:23:46,14.3201,199.9802,2896.61,2.2554e+01,421.3,0.117
